Bank,Year,Popu_Density,Life_Exp,CBR,TFR,GRR,NRR,CDR,MMR,UMR,IMR,NMR,GDP,Hospitals,Hosp_Beds,Dr_Avail,Nur_Avail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2005,939,65.2,20.7,2.46,1.19,1.17,5.8,3.48,68,50,33,70921,2213,68520,31867,18514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2009,993,67.2,19.4,2.15,1.07,1.06,5.8,2.59,50,39,28,108896,2860,74465,36623,20414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2010,1007,67.7,19.2,2.12,1.05,1.04,5.6,2.16,47,36,26,122039,2972,81578,37725,21002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2011,1021,69.0,19.2,2.11,1.04,1.03,5.5,2.09,44,35,23,131079,3084,81876,39293,21571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2012,1035,69.4,18.9,2.12,1.05,1.04,5.3,2.03,42,33,21,141705,3549,92103,40814,22124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2013,1049,70.4,19.0,2.11,1.02,1.01,5.3,1.97,41,31,20,161297,3576,91106,42290,22961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2014,1063,70.7,18.9,2.11,1.05,1.04,5.2,1.93,38,30,21,184013,3575,94318,43721,23772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2015,1077,70.9,18.8,2.10,1.05,1.00,5.1,1.81,36,29,20,208322,4892,123172,45109,24559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2016,1090,71.6,18.7,2.10,1.02,1.00,5.1,1.78,35,28,19,235623,5206,127360,46456,25322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2017,1103,72.0,18.5,2.05,1.02,1.00,5.1,1.72,31,24,17,261515,5630,137024,47762,26062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
